Konfiguracja,Najlepszy,Najgorszy,Sredni,OdchStd,SredniCzasMs,BladSredniProc,BladNajlepszyProc
S1.1: CX Rate=0.70,1966,2372,2168.10,102.40,678.70,22.08,10.70
S1.2: CX Rate=0.80,1982,2387,2196.10,113.75,719.50,23.65,11.60
S1.3: CX Rate=0.90,2067,2340,2165.80,78.29,810.40,21.95,16.39
S1.4: CX Rate=0.95,2064,2276,2174.10,56.15,884.50,22.42,16.22
S1.5: CX Rate=0.99,2049,2669,2248.10,200.65,962.40,26.58,15.37
S2.1: Mut Rate=0.05,2170,2493,2339.80,101.44,483.00,31.75,22.18
S2.2: Mut Rate=0.1,2040,2446,2268.30,111.30,503.80,27.72,14.86
S2.3: Mut Rate=0.2,2109,2448,2280.50,105.97,547.50,28.41,18.75
S2.4: Mut Rate=0.5,1875,2369,2178.20,136.15,738.50,22.65,5.57
S3.1: Tourn Size=2,2087,2324,2188.50,76.61,713.60,23.23,17.51
S3.2: Tourn Size=5,2222,2580,2413.20,111.50,553.20,35.88,25.11
S3.3: Tourn Size=10,2255,2617,2393.20,101.94,580.30,34.75,26.97
